country, order_value_EUR , cost ,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
Portugal,2/26/2232,102890.26,"Tuesday, March 10, 2020",Electronics,"Jacobson, Marvin and Brown",Celine Tumasian,Aurelie Wren,Tablet,48-0713329
Belgium,1/15/2155,79702.55,"Friday, April 3, 2020",Appliances,Armstrong-Little,Lambert Norheny,Collin Mackness,Mobile,50-0942872
Bulgaria,2/6/2169,84116,"Friday, February 15, 2019",Appliances,"Murray, Reichel and Nolan",Charil Alpe,Shermy McGready,PC,78-2307905
Luxembourg,3/17/2198,94270.74,"Monday, July 8, 2019",Books,"Swaniawski, Runolfsson and Green",Ilsa Kob,Jocelyn Laurentino,PC,63-0019978
Portugal,1/17/2002,31559.76,"Monday, January 20, 2020",Games,Considine-Fisher,Celine Tumasian,Aurelie Wren,Tablet,26-9948924
Spain,2/11/2507,190767.27,"Tuesday, June 25, 2019",Appliances,Kirlin and Sons,Emalia Dinse,Bertha Walbrook,Mobile,72-7630507
Netherlands,5/23/2049,43757.27,"Monday, March 23, 2020",Smartphones,Friesen-Rath,Denice Amberg,Nero Harbisher,PC,36-3410564
Portugal,8/27/2205,97204.33,"Monday, October 28, 2019",Smartphones,"Keeling, Monahan and Pollich",Celine Tumasian,Hortense Gerring,PC,82-4653018
Sweden,5/8/2103,61981.27,"Saturday, March 28, 2020",Beauty,"Swaniawski, Runolfsson and Green",Maxie Marrow,Caro Morfield,PC,29-1001593
Portugal,8/24/2161,80342.7,"Tuesday, May 7, 2019",Clothing,Hessel-Stiedemann,Celine Tumasian,Hortense Gerring,PC,59-5568557
France,10/20/1978,24776.45,"Friday, March 29, 2019",Clothing,Dibbert Inc,Othello Bowes,Maighdiln Upcraft,PC,12-1249283
UK,8/18/2240,98959.48,"Thursday, June 13, 2019",Outdoors,Labadie and Sons,Jessamine Apark,Winny Agnolo,PC,96-0180648
Portugal,12/23/2318,125117.1,"Tuesday, January 28, 2020",Games,Friesen-Rath,Celine Tumasian,Corene Shirer,PC,51-9029547
Sweden,11/28/2378,146845.04,"Tuesday, November 3, 2020",Clothing,Wiza and Sons,Maxie Marrow,Caro Morfield,Mobile,84-2614836
France,10/12/2052,46401.07,"Tuesday, March 5, 2019",Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,57-6995715
France,2/9/2144,75367.51,"Monday, November 18, 2019",Beauty,Wiza and Sons,Othello Bowes,Crysta Halls,PC,27-4115444
UK,8/15/1976,24001.76,"Tuesday, March 26, 2019",Games,Labadie and Sons,Jessamine Apark,Genevra Charrisson,PC,34-3302340
France,3/4/1950,15067.97,"Sunday, February 3, 2019",Games,"Schmitt, Purdy and Johnson",Othello Bowes,Ora Grennan,PC,25-6638623
Netherlands,9/7/2071,51414.78,"Thursday, August 29, 2019",Smartphones,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,PC,11-5260310
UK,4/29/2241,103998.35,"Thursday, November 5, 2020",Games,Hessel-Stiedemann,Jessamine Apark,Winny Agnolo,PC,68-5024232
Italy,6/30/2199,87414,"Thursday, November 12, 2020",Other,Schoen-Keeling,Piggy Roscrigg,Joshua Prevost,Mobile,90-2530115
Portugal,10/6/2182,82334.65,"Thursday, March 12, 2020",Appliances,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,23-8271333
France,12/18/2374,139650.31,"Tuesday, January 29, 2019",Books,Johns and Sons,Othello Bowes,Avrit Chanders,PC,99-7422044
Sweden,8/5/2058,48914.01,"Friday, January 18, 2019",Games,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,Mobile,67-6692861
Portugal,1/30/2132,68950.1,"Saturday, January 18, 2020",Electronics,McGlynn-Bergstrom,Celine Tumasian,Smitty Culverhouse,Mobile,20-3441688
France,4/22/2278,116744.51,"Tuesday, November 3, 2020",Other,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,PC,80-8230605
Portugal,10/23/2291,121241,"Monday, November 2, 2020",Electronics,Kirlin and Sons,Celine Tumasian,Hortense Gerring,Mobile,18-0704377
Sweden,1/23/2049,44989.14,"Monday, March 9, 2020",Appliances,Wunsch LLC,Maxie Marrow,Alyosha Meah,Tablet,47-5524071
Portugal,3/28/2273,110436.8,"Tuesday, October 29, 2019",Electronics,Walter LLC,Celine Tumasian,Hortense Gerring,Tablet,76-2572347
Portugal,11/27/2017,36154.39,"Friday, February 8, 2019",Games,"Hamill, Kulas and Roob",Celine Tumasian,Hortense Gerring,Mobile,74-4429133
France,1/1/2515,189988.88,"Tuesday, July 21, 2020",Electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,PC,69-1300467
France,9/28/2216,98127.6,"Monday, July 15, 2019",Clothing,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,99-8643527
Bulgaria,5/10/2114,66236.67,"Sunday, October 13, 2019",Appliances,"Rowe, Hermiston and Kessler",Charil Alpe,Bernadine Fullagar,Mobile,14-1143584
Portugal,10/17/2153,73454.25,"Monday, January 13, 2020",Clothing,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC,62-4331197
Bulgaria,8/18/2127,72000.51,"Friday, March 15, 2019",Outdoors,Wisoky Inc,Charil Alpe,Shermy McGready,Mobile,02-3333733
Portugal,9/22/2006,32854.25,"Saturday, October 12, 2019",Clothing,Hegmann Group,Celine Tumasian,Smitty Culverhouse,Mobile,09-3959499
Portugal,5/20/2056,49654.92,"Monday, November 25, 2019",Games,"Leffler, Prohaska and Streich",Celine Tumasian,Aurelie Wren,PC,55-7848276
Sweden,3/4/2559,205415.64,"Sunday, June 14, 2020",Appliances,"Schmitt, Purdy and Johnson",Maxie Marrow,Tarrah Castelletti,PC,98-1814878
Sweden,6/6/2047,47354.92,"Wednesday, April 15, 2020",Games,"Rowe, Hermiston and Kessler",Maxie Marrow,Alyosha Meah,PC,83-9569509
Ireland,11/16/2888,288368.4,"Monday, December 2, 2019",Books,Smith Group,Glenine Suttaby,Bunnie Tonbridge,PC,44-1953194
Sweden,9/29/2165,78067.95,"Saturday, October 19, 2019",Appliances,"Zieme, Bailey and Herzog",Maxie Marrow,Madelon Bront,Tablet,50-0376562
Spain,1/28/2007,34315.97,"Sunday, October 27, 2019",Clothing,"Bashirian, Okuneva and Bechtelar",Emalia Dinse,Perri Aldersley,PC,06-9596696
France,8/7/2238,106036.97,"Friday, November 13, 2020",Smartphones,McGlynn-Prosacco,Othello Bowes,Crysta Halls,PC,46-2632808
France,1/3/2296,118345.1,"Thursday, April 11, 2019",Electronics,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC,77-7771177
France,11/21/2635,233676.49,"Friday, December 27, 2019",Smartphones,O'Connell-Mitchell,Othello Bowes,Ora Grennan,Mobile,13-0624842
Sweden,9/23/2046,45629.81,"Sunday, July 12, 2020",Electronics,Friesen-Rath,Maxie Marrow,Caro Morfield,PC,71-4409662
France,6/29/2324,134268.12,"Friday, October 25, 2019",Beauty,West-Cummings,Othello Bowes,Amelina Piscopiello,PC,46-0270404
Portugal,8/13/2180,85009.46,"Saturday, August 8, 2020",Smartphones,"Hermiston, Simonis and Wisoky",Celine Tumasian,Hortense Gerring,Tablet,70-7107956
Portugal,3/27/2706,255572.92,"Tuesday, June 11, 2019",Smartphones,Gislason-Stanton,Celine Tumasian,Smitty Culverhouse,Tablet,84-5310661
Sweden,5/14/2075,54733.95,"Tuesday, September 1, 2020",Beauty,Armstrong-Little,Maxie Marrow,Anita Woakes,PC,75-6638402
UK,3/12/1967,19492.62,"Friday, March 22, 2019",Clothing,Hessel-Stiedemann,Jessamine Apark,Jay Morefield,PC,53-0615558
Portugal,4/16/2342,132579.21,"Thursday, September 12, 2019",Clothing,Johns and Sons,Celine Tumasian,Smitty Culverhouse,PC,00-2549549
Portugal,9/20/2037,41103.12,"Monday, January 6, 2020",Appliances,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Smitty Culverhouse,PC,23-1397222
Sweden,2/13/2241,109106.13,"Saturday, January 11, 2020",Appliances,Johns and Sons,Maxie Marrow,Madelon Bront,Mobile,00-4698524
Sweden,11/12/2020,37163.72,"Monday, May 18, 2020",Beauty,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,PC,76-3837496
Bulgaria,8/23/2015,37039.96,"Friday, May 17, 2019",Smartphones,Johns and Sons,Charil Alpe,Shermy McGready,PC,61-7979087
Sweden,6/21/2211,91158.6,"Wednesday, April 1, 2020",Books,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Madelon Bront,PC,52-8377955
Portugal,1/10/2402,155033.92,"Monday, June 24, 2019",Smartphones,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,87-6162387
France,4/27/2133,73767.15,"Sunday, September 15, 2019",Beauty,"Shanahan, Schaden and Parker",Othello Bowes,Crysta Halls,Tablet,11-8965256
Portugal,8/7/2139,72469.74,"Thursday, March 5, 2020",Books,"Lubowitz, McLaughlin and Erdman",Celine Tumasian,Corene Shirer,Mobile,16-9079414
Bulgaria,7/1/2001,30274.55,"Friday, April 26, 2019",Books,Rath-Schroeder,Charil Alpe,Bernadine Fullagar,Tablet,15-9091881
France,5/27/2234,103684.6,"Saturday, November 2, 2019",Smartphones,Smith Group,Othello Bowes,Ora Grennan,PC,07-3222085
France,7/22/2194,94525.24,"Sunday, June 7, 2020",Electronics,"Spencer, Rogahn and Muller",Othello Bowes,Amelina Piscopiello,PC,20-3384992
UK,5/31/2458,176444.2,"Wednesday, December 2, 2020",Appliances,Larkin-Collier,Jessamine Apark,Genevra Charrisson,PC,09-3404706
Portugal,12/10/2050,47121.65,"Tuesday, June 11, 2019",Clothing,"Dickinson, Hyatt and Berge",Celine Tumasian,Hortense Gerring,PC,97-8712680
Ireland,10/10/2270,116275.1,"Wednesday, January 15, 2020",Electronics,"Hamill, Kulas and Roob",Glenine Suttaby,Palm Wetherald,PC,43-4245267
Sweden,7/25/2357,132946.92,"Thursday, August 1, 2019",Smartphones,Hegmann Group,Maxie Marrow,Alyosha Meah,PC,58-8969119
Germany,4/5/2154,79068.13,"Monday, March 30, 2020",Electronics,"Fisher, Morar and Skiles",Rickard Doogood,Casie MacBain,PC,88-8436664
Portugal,7/29/2197,91223.06,"Saturday, November 9, 2019",Appliances,Walter LLC,Celine Tumasian,Brynn Dempster,Mobile,35-6825112
Portugal,9/7/2118,68132.88,"Saturday, November 14, 2020",Outdoors,"Farrell, Swaniawski and Crist",Celine Tumasian,Smitty Culverhouse,PC,24-4511396
Germany,12/5/2318,131543.89,"Friday, September 13, 2019",Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC,99-0564964
Portugal,6/21/2099,60442.51,"Sunday, May 10, 2020",Clothing,Armstrong-Little,Celine Tumasian,Brynn Dempster,PC,47-9920494
France,5/16/2181,83584.01,"Sunday, November 24, 2019",Accessories,McClure Inc,Othello Bowes,Maighdiln Upcraft,PC,82-9352154
UK,12/9/2147,75318.05,"Monday, August 26, 2019",Outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,PC,74-6920956
Portugal,3/21/2288,112317.21,"Wednesday, September 16, 2020",Games,Johns and Sons,Celine Tumasian,Corene Shirer,PC,16-8778373
Bulgaria,5/23/2184,82112.48,"Monday, January 14, 2019",Outdoors,Johns and Sons,Charil Alpe,Shermy McGready,PC,85-4014655
Spain,5/12/2269,114388.65,"Tuesday, August 18, 2020",Clothing,Romaguera-Dietrich,Emalia Dinse,Perri Aldersley,PC,25-2355172
Portugal,11/26/2023,38975.1,"Monday, January 14, 2019",Other,"Spencer, Rogahn and Muller",Celine Tumasian,Smitty Culverhouse,PC,31-7667796
Portugal,9/17/2258,107920.06,"Thursday, April 2, 2020",Clothing,Hane Inc,Celine Tumasian,Brynn Dempster,PC,39-2536155
Ireland,5/19/2132,68454,"Sunday, December 1, 2019",Electronics,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC,30-8840089
France,7/3/2360,144246.42,"Sunday, January 13, 2019",Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,PC,93-8309926
UK,5/5/2951,304701.43,"Thursday, December 19, 2019",Other,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,42-7823733
France,7/16/2055,48221.3,"Monday, October 7, 2019",Clothing,"Schowalter, Lesch and Beahan",Othello Bowes,Ora Grennan,PC,03-9337803
Portugal,8/7/2103,60145.98,"Tuesday, January 21, 2020",Clothing,Altenwerth-Konopelski,Celine Tumasian,Aurelie Wren,Mobile,42-1879788
Finland,1/25/2545,201468.96,"Monday, July 27, 2020",Games,Hegmann Group,Hube Corey,Wat Bowkley,Tablet,42-8394841
Sweden,8/3/1986,25662.45,"Thursday, August 27, 2020",Beauty,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Caro Morfield,Mobile,84-5642889
Sweden,9/4/2056,46331.78,"Thursday, March 28, 2019",Appliances,Johns and Sons,Maxie Marrow,Alyosha Meah,PC,92-7234550
Portugal,8/14/2131,72391.09,"Tuesday, April 28, 2020",Clothing,"Hamill, Kulas and Roob",Celine Tumasian,Brynn Dempster,PC,98-5721101
Sweden,3/11/2169,84872.4,"Friday, October 9, 2020",Clothing,Hessel-Stiedemann,Maxie Marrow,Tarrah Castelletti,PC,32-9344186
Netherlands,4/19/2071,49916.42,"Sunday, April 21, 2019",Clothing,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC,40-7356336
Sweden,7/7/2555,199152.52,"Sunday, December 8, 2019",Electronics,"Hamill, Kulas and Roob",Maxie Marrow,Madelon Bront,Mobile,94-1762263
France,4/15/2088,59082.91,"Monday, September 30, 2019",Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,26-5649751
Germany,10/10/2181,87480.38,"Monday, October 28, 2019",Smartphones,"Swaniawski, Runolfsson and Green",Rickard Doogood,Casie MacBain,PC,88-5343320
UK,7/17/2311,118927.8,"Thursday, January 23, 2020",Beauty,Johns and Sons,Jessamine Apark,Jay Morefield,PC,09-6527060
Sweden,6/14/2294,123729.81,"Saturday, July 13, 2019",Beauty,"Fisher, Morar and Skiles",Maxie Marrow,Anita Woakes,PC,85-3431441
Sweden,10/10/2090,55529.13,"Saturday, January 25, 2020",Clothing,Romaguera-Dietrich,Maxie Marrow,Alyosha Meah,PC,78-3301264
Sweden,1/14/2115,68010.03,"Sunday, May 26, 2019",Games,Kihn Inc,Maxie Marrow,Caro Morfield,PC,02-9523107
Portugal,11/22/2002,31967.36,"Thursday, May 7, 2020",Appliances,Hilll-Vandervort,Celine Tumasian,Smitty Culverhouse,Mobile,19-9205287
Sweden,10/31/2141,73755.12,"Sunday, August 16, 2020",Clothing,Corwin and Sons,Maxie Marrow,Caro Morfield,Mobile,94-1199389
Portugal,1/2/2582,215695.2,"Monday, June 15, 2020",Other,Johns and Sons,Celine Tumasian,Corene Shirer,PC,88-4621939
UK,7/22/1977,24408.08,"Tuesday, February 19, 2019",Clothing,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,PC,68-9634139
Portugal,3/18/2344,142663.58,"Wednesday, August 28, 2019",Games,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC,44-5200140
Germany,5/24/2341,135696.48,"Sunday, October 20, 2019",Games,Labadie and Sons,Rickard Doogood,Casie MacBain,PC,98-6247105
France,5/21/2002,30837.92,"Sunday, May 17, 2020",Games,Hegmann Group,Othello Bowes,Avrit Chanders,PC,24-6566439
UK,3/23/2171,85393.44,"Friday, July 10, 2020",Books,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,52-9152387
Sweden,4/21/1943,13743.44,"Sunday, March 10, 2019",Clothing,Kihn Inc,Maxie Marrow,Anita Woakes,PC,26-9787272
Portugal,8/1/2006,32837.59,"Wednesday, November 18, 2020",Outdoors,"Spencer, Rogahn and Muller",Celine Tumasian,Brynn Dempster,PC,12-2202467
Portugal,1/4/1979,23656.32,"Wednesday, January 9, 2019",Electronics,Larkin-Collier,Celine Tumasian,Corene Shirer,Mobile,82-0537890
France,1/22/2048,45031.62,"Friday, May 29, 2020",Games,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Avrit Chanders,PC,15-6838362
Sweden,4/12/2093,60564.91,"Sunday, February 9, 2020",Electronics,Hilll-Vandervort,Maxie Marrow,Alyosha Meah,PC,51-0685379
UK,6/4/2364,135347.42,"Wednesday, October 23, 2019",Outdoors,Johns and Sons,Jessamine Apark,Jay Morefield,PC,76-5919033
Portugal,2/26/2161,76195.85,"Friday, May 8, 2020",Books,Gislason-Stanton,Celine Tumasian,Aurelie Wren,PC,34-7627348
France,6/29/2038,40999.94,"Saturday, August 29, 2020",Beauty,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Maighdiln Upcraft,Tablet,32-1940437
Sweden,12/27/2183,90231.74,"Thursday, May 21, 2020",Clothing,Dibbert Inc,Maxie Marrow,Caro Morfield,Mobile,25-9913528
UK,9/23/2509,194951.78,"Saturday, December 12, 2020",Appliances,Johns and Sons,Jessamine Apark,Genevra Charrisson,Mobile,73-3464233
Portugal,5/25/2292,114213.68,"Tuesday, May 19, 2020",Books,Johns and Sons,Celine Tumasian,Corene Shirer,PC,04-2863062
UK,1/26/2251,106710.81,"Saturday, June 1, 2019",Accessories,"Murray, Reichel and Nolan",Jessamine Apark,Jay Morefield,PC,18-7077174
Sweden,4/13/2250,112267.17,"Monday, December 9, 2019",Clothing,Gislason-Stanton,Maxie Marrow,Alyosha Meah,PC,64-8300193
Sweden,3/18/2301,120822.85,"Tuesday, April 30, 2019",Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Anita Woakes,PC,84-2858993
Portugal,6/10/1999,31581.7,"Thursday, October 29, 2020",Books,Kirlin and Sons,Celine Tumasian,Smitty Culverhouse,PC,72-2647440
Spain,3/20/2017,35356.27,"Friday, February 1, 2019",Beauty,Wiza and Sons,Emalia Dinse,Perri Aldersley,PC,68-1806238
UK,6/3/2363,141080.04,"Sunday, April 26, 2020",Beauty,Considine-Fisher,Jessamine Apark,Winny Agnolo,PC,87-0922827
Sweden,4/15/2213,93727.45,"Wednesday, March 11, 2020",Other,Tillman and Sons,Maxie Marrow,Madelon Bront,PC,33-8547717
UK,8/27/2247,105113.73,"Thursday, September 26, 2019",Electronics,Dibbert Inc,Jessamine Apark,Genevra Charrisson,PC,15-5051694
Luxembourg,5/3/2707,259106.43,"Tuesday, December 15, 2020",Books,Morissette Group,Ilsa Kob,Jocelyn Laurentino,PC,37-2363680
UK,5/12/2374,143198.51,"Friday, May 24, 2019",Clothing,Johns and Sons,Jessamine Apark,Jay Morefield,PC,92-4106004
Luxembourg,7/30/2333,133990.37,"Friday, August 14, 2020",Books,Hessel-Stiedemann,Ilsa Kob,Jocelyn Laurentino,PC,39-1671087
UK,10/11/2038,43597.77,"Wednesday, November 18, 2020",Clothing,"Swaniawski, Runolfsson and Green",Jessamine Apark,Jay Morefield,PC,77-9240051
Ireland,4/24/2221,102664.8,"Monday, November 2, 2020",Clothing,Goldner-Dibbert,Glenine Suttaby,Palm Wetherald,PC,79-8966057
Sweden,5/7/2157,77171.27,"Saturday, October 10, 2020",Games,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Mobile,75-0683725
UK,11/30/2227,98234.71,"Saturday, January 11, 2020",Books,"Bashirian, Okuneva and Bechtelar",Jessamine Apark,Jay Morefield,PC,55-5032186
France,7/6/2130,71885.02,"Saturday, December 26, 2020",Books,"Zieme, Bailey and Herzog",Othello Bowes,Avrit Chanders,Mobile,31-8836719
Finland,11/10/2462,166748.17,"Tuesday, December 22, 2020",Beauty,Tromp LLC,Hube Corey,Wat Bowkley,PC,64-4923214
Sweden,6/30/2337,139180.1,"Saturday, June 15, 2019",Smartphones,"Swaniawski, Runolfsson and Green",Maxie Marrow,Alyosha Meah,Tablet,98-2574776
Portugal,9/7/2186,90868.4,"Tuesday, August 25, 2020",Clothing,Marquardt-Kuvalis,Celine Tumasian,Corene Shirer,PC,33-0729966
France,4/3/2089,55902.6,"Sunday, December 8, 2019",Electronics,"Farrell, Swaniawski and Crist",Othello Bowes,Avrit Chanders,PC,07-3201531
Sweden,5/17/1955,17408.61,"Saturday, February 23, 2019",Electronics,Larkin-Collier,Maxie Marrow,Caro Morfield,PC,21-3278349
France,1/21/2078,52361.14,"Thursday, May 30, 2019",Other,Considine-Fisher,Othello Bowes,Amelina Piscopiello,PC,50-1695443
France,6/25/2595,205605.39,"Wednesday, July 3, 2019",Clothing,McGlynn-Prosacco,Othello Bowes,Maighdiln Upcraft,PC,52-3693331
Luxembourg,7/27/2338,130487.51,"Sunday, September 27, 2020",Accessories,"Zieme, Bailey and Herzog",Ilsa Kob,Jocelyn Laurentino,PC,98-3033030
UK,5/14/2122,70319.99,"Wednesday, May 20, 2020",Clothing,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,PC,34-5793997
Portugal,10/25/2196,88594.91,"Saturday, August 3, 2019",Smartphones,Romaguera-Haley,Celine Tumasian,Corene Shirer,Mobile,52-7280101
Spain,1/24/2015,36299.97,"Sunday, March 1, 2020",Other,Hessel-Stiedemann,Emalia Dinse,Perri Aldersley,PC,55-3118263
Sweden,6/28/2070,54600.93,"Wednesday, February 20, 2019",Beauty,Romaguera-Haley,Maxie Marrow,Caro Morfield,PC,58-9822844
Sweden,2/7/2150,75839.4,"Monday, February 4, 2019",Games,Tillman and Sons,Maxie Marrow,Alyosha Meah,PC,51-5324396
UK,7/3/2237,101576.49,"Sunday, January 20, 2019",Clothing,"Christiansen, Donnelly and Bechtelar",Jessamine Apark,Genevra Charrisson,Tablet,99-5465830
Luxembourg,8/17/2400,145440.65,"Saturday, December 28, 2019",Outdoors,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,PC,01-8696189
Portugal,12/13/2223,94822.54,"Monday, November 23, 2020",Electronics,Tillman and Sons,Celine Tumasian,Aurelie Wren,Tablet,20-7636879
UK,5/30/2103,63716.09,"Thursday, April 11, 2019",Games,"Keeling, Monahan and Pollich",Jessamine Apark,Genevra Charrisson,PC,85-8092784
UK,7/12/2318,121130.5,"Sunday, December 6, 2020",Clothing,Konopelski LLC,Jessamine Apark,Genevra Charrisson,PC,97-5905883
France,6/7/2369,148877.54,"Friday, August 16, 2019",Books,McGlynn-Bergstrom,Othello Bowes,Crysta Halls,PC,74-6473826
UK,8/6/2327,130096.08,"Tuesday, December 24, 2019",Clothing,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,91-0416047
Portugal,8/28/2217,96566.37,"Tuesday, June 2, 2020",Smartphones,Tillman and Sons,Celine Tumasian,Smitty Culverhouse,PC,34-0232219
France,6/12/2093,61330.5,"Saturday, September 5, 2020",Other,"Rowe, Hermiston and Kessler",Othello Bowes,Maighdiln Upcraft,PC,34-0783331
Netherlands,2/25/2185,85696.39,"Monday, May 6, 2019",Smartphones,"Swaniawski, Runolfsson and Green",Denice Amberg,Nero Harbisher,Mobile,30-8215510
Portugal,8/5/2130,68239.08,"Monday, January 21, 2019",Appliances,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Mobile,95-3196761
Portugal,4/19/2372,139125.48,"Friday, October 2, 2020",Accessories,Romaguera-Haley,Celine Tumasian,Brynn Dempster,PC,99-3651863
Portugal,12/10/2145,76795.96,"Friday, April 19, 2019",Games,Johns and Sons,Celine Tumasian,Aurelie Wren,Tablet,94-8641337
Netherlands,1/3/2869,287528.72,"Friday, December 4, 2020",Clothing,Corwin and Sons,Denice Amberg,Nero Harbisher,PC,36-2694099
France,3/27/2287,114691.25,"Sunday, May 26, 2019",Outdoors,Walter LLC,Othello Bowes,Maighdiln Upcraft,PC,40-5308505
UK,8/13/2388,156282.15,"Monday, April 27, 2020",Accessories,Romaguera-Haley,Jessamine Apark,Winny Agnolo,PC,68-8279682
